문의ID,고객ID,접수일,유형,채널,상태,내용
T048,CU0221,2026-07-02,품절 재입고 문의,카카오,완료,품절 재입고 문의에 대한 고객 문의 내용입니다.
T049,CU0436,2026-07-03,포장 파손,이메일,완료,포장 파손에 대한 고객 문의 내용입니다.
T050,CU0426,2026-07-04,포장 파손,이메일,완료,포장 파손에 대한 고객 문의 내용입니다.
T051,CU0266,2026-07-05,포장 파손,카카오,완료,포장 파손에 대한 고객 문의 내용입니다.
T052,CU0312,2026-07-06,주문 취소,인스타DM,완료,주문 취소에 대한 고객 문의 내용입니다.
T053,CU0371,2026-07-07,회원 정보 변경,전화,처리중,회원 정보 변경에 대한 고객 문의 내용입니다.
T054,CU0430,2026-07-08,환불 요청,이메일,완료,환불 요청에 대한 고객 문의 내용입니다.
T055,CU0275,2026-07-09,배송 지연 문의,카카오,처리중,배송 지연 문의에 대한 고객 문의 내용입니다.
T056,CU0347,2026-07-10,배송 지연 문의,이메일,처리중,배송 지연 문의에 대한 고객 문의 내용입니다.
T057,CU0217,2026-07-11,배송 지연 문의,전화,완료,배송 지연 문의에 대한 고객 문의 내용입니다.
T058,CU0473,2026-07-12,환불 요청,전화,처리중,환불 요청에 대한 고객 문의 내용입니다.
T059,CU0275,2026-07-13,환불 요청,전화,완료,환불 요청에 대한 고객 문의 내용입니다.
T060,CU0098,2026-07-14,환불 요청,카카오,대기,환불 요청에 대한 고객 문의 내용입니다.
