리뷰ID,작성일,채널,별점,상품,내용
R130,2026-06-24,자사몰,5,토너,보습력이 좋아요
R131,2026-06-25,인스타,4,클렌저,재구매 의사 있어요
R132,2026-06-26,자사몰,3,선크림,설명과 색이 달라요
R133,2026-06-27,자사몰,4,세럼,흡수가 빨라요
R134,2026-06-28,올리브영,5,세럼,재구매 의사 있어요
R135,2026-06-29,네이버,3,크림,배송이 너무 느려요
R136,2026-06-30,네이버,5,선크림,자극이 없어요
R137,2026-07-01,자사몰,3,선크림,발림성이 무거워요
R138,2026-07-02,네이버,5,세럼,흡수가 빨라요
R139,2026-07-03,네이버,4,크림,보습력이 좋아요
R140,2026-07-04,올리브영,2,토너,가격이 부담돼요
R141,2026-07-05,인스타,5,토너,흡수가 빨라요
R142,2026-07-06,올리브영,5,선크림,보습력이 좋아요
R143,2026-07-07,인스타,4,세럼,보습력이 좋아요
R144,2026-07-08,자사몰,1,선크림,배송이 너무 느려요
R145,2026-07-09,올리브영,5,세럼,자극이 없어요
R146,2026-07-10,인스타,5,선크림,재구매 의사 있어요
R147,2026-07-11,자사몰,4,토너,보습력이 좋아요
R148,2026-07-12,인스타,4,토너,보습력이 좋아요
R149,2026-07-13,인스타,2,토너,발림성이 무거워요
R150,2026-07-14,네이버,2,크림,발림성이 무거워요
R151,2026-06-15,네이버,4,토너,자극이 없어요
R152,2026-06-16,올리브영,4,크림,성분이 깔끔해요
R153,2026-06-17,네이버,1,선크림,가격이 부담돼요
R154,2026-06-18,네이버,5,토너,흡수가 빨라요
R155,2026-06-19,네이버,4,클렌저,보습력이 좋아요
R156,2026-06-20,올리브영,5,선크림,자극이 없어요
R157,2026-06-21,네이버,4,크림,흡수가 빨라요
R158,2026-06-22,올리브영,4,클렌저,성분이 깔끔해요
R159,2026-06-23,자사몰,2,클렌저,향이 너무 강해요
R160,2026-06-24,자사몰,4,크림,재구매 의사 있어요
R161,2026-06-25,자사몰,5,선크림,보습력이 좋아요
R162,2026-06-26,인스타,4,클렌저,재구매 의사 있어요
R163,2026-06-27,네이버,4,선크림,성분이 깔끔해요
R164,2026-06-28,인스타,5,토너,자극이 없어요
R165,2026-06-29,네이버,1,선크림,배송이 너무 느려요
R166,2026-06-30,인스타,3,세럼,가격이 부담돼요
R167,2026-07-01,올리브영,3,토너,배송이 너무 느려요
R168,2026-07-02,자사몰,5,선크림,성분이 깔끔해요
R169,2026-07-03,인스타,5,세럼,성분이 깔끔해요
R170,2026-07-04,자사몰,3,세럼,용기 펌프가 잘 안 나와요
R171,2026-07-05,네이버,2,토너,설명과 색이 달라요
R172,2026-07-06,자사몰,4,선크림,성분이 깔끔해요
R173,2026-07-07,인스타,4,토너,재구매 의사 있어요
R174,2026-07-08,인스타,3,세럼,가격이 부담돼요
R175,2026-07-09,인스타,3,클렌저,용기 펌프가 잘 안 나와요
R176,2026-07-10,자사몰,4,토너,재구매 의사 있어요
R177,2026-07-11,네이버,1,클렌저,포장이 과해요
R178,2026-07-12,올리브영,4,세럼,보습력이 좋아요
R179,2026-07-13,인스타,1,크림,설명과 색이 달라요
R180,2026-07-14,네이버,5,크림,보습력이 좋아요
R181,2026-06-15,자사몰,4,선크림,흡수가 빨라요
R182,2026-06-16,자사몰,2,클렌저,발림성이 무거워요
R183,2026-06-17,올리브영,4,토너,성분이 깔끔해요
R184,2026-06-18,네이버,4,클렌저,자극이 없어요
R185,2026-06-19,인스타,3,크림,재입고가 안 돼요
R186,2026-06-20,올리브영,3,토너,가격이 부담돼요
R187,2026-06-21,올리브영,4,세럼,재구매 의사 있어요
R188,2026-06-22,인스타,1,클렌저,배송이 너무 느려요
R189,2026-06-23,인스타,3,클렌저,재입고가 안 돼요
R190,2026-06-24,자사몰,3,선크림,배송이 너무 느려요
R191,2026-06-25,자사몰,2,클렌저,가격이 부담돼요
R192,2026-06-26,네이버,5,클렌저,흡수가 빨라요
R193,2026-06-27,네이버,4,세럼,보습력이 좋아요
R194,2026-06-28,올리브영,3,세럼,포장이 과해요
R195,2026-06-29,자사몰,1,토너,배송이 너무 느려요
R196,2026-06-30,네이버,5,크림,보습력이 좋아요
R197,2026-07-01,인스타,5,세럼,성분이 깔끔해요
R198,2026-07-02,네이버,5,크림,보습력이 좋아요
R199,2026-07-03,올리브영,2,세럼,가격이 부담돼요
R200,2026-07-04,인스타,5,선크림,자극이 없어요
